Model					83JY004TRA
Processor				AMD Ryzen AI 7 350 (8C / 16T, 2.0 / 5.0GHz, 8MB L2 / 16MB L3)
AI PC Category			Copilot+ PC
NPU						Integrated AMD Ryzen AI, up to 50 TOPS
Graphics				Integrated AMD Radeon 860M Graphics
Chipset					AMD SoC Platform
Memory					32GB Soldered LPDDR5x-7500
Memory Slots			Memory soldered to systemboard, no slots, dual-channel
Max Memory				32GB soldered memory, not upgradable
Storage					1TB SSD M.2 2242 PCIe 4.0x4 NVMe
Storage Slot			One M.2 2242 PCIe 4.0 x4 slot
Max Storage Support		One drive, up to 1TB M.2 2242 SSD
Card Reader				None
Audio Chip				High Definition (HD) Audio, Realtek ALC3306 codec
Speakers				4 stereo speakers, 2W x2 (woofers), 2W x2 (tweeters), optimized with Dolby Atmos, Amplifier (AMP)
Microphone				4x, Array
Camera					FHD 1080p + IR with E-shutter
Battery					70Wh
Power Adapter			65W USB-C Slim (2-pin, Wall-mount)
Display					14" WUXGA (1920x1200) OLED 600nits (peak) / 400nits (typical) Glossy, 100% DCI-P3, 60Hz, Eyesafe, Dolby Vision, DisplayHDR True Black 500, X-Rite
Touchscreen				None
Screen-to-Body Ratio 	90% AAR (active area ratio)
Color Calibration		X-Rite Factory Color Calibration
Pen						Pen Not Supported
Keyboard				Backlit, Ukrainian
Touchpad				Buttonless glass surface multi-touch touchpad, supports Precision TouchPad (PTP), 80 x 135 mm (3.15 x 5.31 inches)
Dimensions (WxDxH)		312 x 219.3 x 13.9 mm (12.28 x 8.63 x 0.55 inches)
Weight					Starting at 1.19 kg (2.62 lbs)
Case Color				Tidal Teal
Case Material			Aluminium (Top), Aluminium (Bottom)
Surface Treatment		Aluminium Stamping (Anodized with Sandblasting)
Operating System		None
Bundled Software		None
WLAN + Bluetooth		Wi-Fi 7, 802.11be 2x2 + BT5.4
WWAN					WWAN Not Supported
Ethernet				No Onboard Ethernet
Standard Ports			1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On^|^2x USB-C (USB4 40Gbps), with USB PD 3.0 and DisplayPort 2.1^|^1x HDMI 2.1, up to 4K/60Hz^|^1x Headphone / microphone combo jack (3.5mm)
Docking					Various docking solutions are supported via USB-C.  For more compatible docking solutions, please visit <a href="https://psref.lenovo.com/accessories/?category=Docking&system=83JY" target="_blank"><u>Docking for Yoga Slim 7 14AKP10</u></a>
Security Chip			Microsoft Pluton TPM 2.0 Enabled
Fingerprint Reader		None
Other Security			E-shutter^|^IR camera for Windows Hello (facial recognition)
Base Warranty			1-year, Courier or Carry-in
Included Upgrade		None
Bundled Accessories		None
Green Certifications	Carbon Neutral Certified^|^ErP Lot 6/26^|^RoHS compliant
Mil-Spec Test			MIL-STD-810H military test passed (21 test items)
Other Certifications	Eyesafe Certified 2.0^|^TÜV Rheinland Flicker Free^|^TÜV Rheinland Low Blue Light (Hardware Solution)
Product					Yoga Slim 7 14AKP10
Region					CIS
Country/Region			Ukraine
Machine Type			83JY
TopSeller				No
EAN / UPC / JAN			199271530818
End of Support			2031-04-10
Announce Date			2025-05-21
